Nombre;Precio en $;Precio en Bs;Precio $ BCV;Inventario;Costos
Transmisor cenicero bluetooth - Car FM player;9,00;693;10,19;2;20,38
Trident - tipo chicle-individual;0,13;10;0,15;125;18,40
Twistikeso;3,5;270;3,96;;
Uñas curvas- paquete (NALL 500 PCS);6,00;462;6,79;3;20,38
Uñas postizas - Jelly Tips caja;4,30;331;4,87;6;29,21
Uñas postizas - Jelly Tips por blister (24 uñas);0,60;46;0,68;15;10,19
Uñas postizas - normales;1,50;116;1,70;0;0,00
Uñas postizas decoradas;2,50;193;2,83;2;5,66
Utensilios de cocina;2,00;154;2,26;7;
Vainilla 250 ml;0,80;62;0,91;37;33,52
Vajilla - combo;10,00;770;11,32;1;11,32
Vaselina cartón - Lipbalm;0,90;69;1,02;6;6,11
Vaselina labial - Lip Therapy;4,50;347;5,10;6;30,57
Vaselina moustruo;0,60;46;0,68;20;13,59
Vaselina pure petroleum jelly 50ml;4,50;347;5,10;6;30,57
Vaso escolar grande;1,00;77;1,13;2;2,26
Vaso escolar pequeño;0,60;46;0,68;1;0,68
Vaso para café;0,50;39;0,57;10;5,66
Vaso para jugo ;0,50;39;0,57;0;0,00
Vasos con luces ;5,00;385;5,66;2;11,32
Vasos desechables 77;2,00;154;2,26;4;9,06
Vasos desechables 89;1,50;116;1,70;2;3,40
Velas;0,25;19;0,28;154;43,60
Velas de cumpleaños - mágicas;1,05;81;1,19;5;5,94
Velas de cumpleaños - normales;0,60;46;0,68;13;8,83
Ventilador pequeño;6,00;462;6,79;2;13,59
Viki Viki  - Wiki- Wiki ;0,50;39;0,57;58;32,84
Viki Viki  - Wiki- Wiki - Nueva imagen;1,13;87;1,28;24;30,71
Vinagre 500ML Capital;0,90;69;1,02;18;18,34
Yesquero - Encendedor de cocina;0,63;49;0,71;6;4,28
Yesquero - Normal;0,20;15;0,23;36;8,15
Zarcillos de argolla ;2,00;154;2,26;32;72,47
Zarcillos grandes DORADOS ;2,00;154;2,26;;0,00
Zarcillos por pares - estuche blanco;1,20;92;1,36;29;39,41
Zarcillos por pares - pequeños ;0,50;39;0,57;9;5,10
Zarcillos y cadena - Juego ;1,60;123;1,81;27;48,92
